"","gameId","playId","quarter","GameClock","down","yardsToGo","possessionTeam","yardlineSide","yardlineNumber","offenseFormation","personnel.offense","defendersInTheBox","numberOfPassRushers","personnel.defense","HomeScoreBeforePlay","VisitorScoreBeforePlay","HomeScoreAfterPlay","VisitorScoreAfterPlay","isPenalty","isSTPlay","SpecialTeamsPlayType","KickReturnYardage","PassLength","PassResult","YardsAfterCatch","PlayResult","playDescription","season","week","gameDate","gameTimeEastern","HomeScore","VisitorScore","homeTeamAbbr","visitorTeamAbbr","homeDisplayName","visitorDisplayName","Stadium","Location","StadiumType","Turf","GameLength","GameWeather","Temperature","Humidity","WindSpeed","WindDirection","YardsBeforeCatch","Speed_at_Catch","Max_Speed_Before_Catch","Max_Speed_After_Catch"
"1",2017090700,2756,3,09:28:00,1,10,"KC","KC",25,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"3 DL, 2 LB, 6 DB",17,14,17,20,FALSE,FALSE,NA,NA,41,"C",34,75,"(9:28) (Shotgun) A.Smith pass deep right to T.Hill for 75 yards, TOUCHDOWN.",2017,1,"09/07/2017",20:30:00,27,42,"NE","KC","New England Patriots","Kansas City Chiefs","Gillette Stadium","Foxborough, MA","Outdoor","Field Turf",03:37:00,"Clear and warm","63",77,"8","SW",41,9.93,9.93,10.18
"2",2017090700,3725,4,14:19:00,1,10,"KC","KC",22,"SHOTGUN","1 RB, 1 TE, 3 WR",7,4,"4 DL, 1 LB, 6 DB",27,21,27,27,FALSE,FALSE,NA,NA,31,"C",47,78,"(14:19) (Shotgun) A.Smith pass deep right to K.Hunt for 78 yards, TOUCHDOWN.",2017,1,"09/07/2017",20:30:00,27,42,"NE","KC","New England Patriots","Kansas City Chiefs","Gillette Stadium","Foxborough, MA","Outdoor","Field Turf",03:37:00,"Clear and warm","63",77,"8","SW",31,9.2,9.21,9.3
"3",2017091003,1765,2,02:44:00,2,8,"PIT","PIT",11,"EMPTY","0 RB, 1 TE, 4 WR",6,5,"2 DL, 4 LB, 5 DB",7,7,7,7,FALSE,FALSE,NA,NA,16,"C",34,50,"(2:44) (Shotgun) B.Roethlisberger pass deep right to A.Brown to CLV 39 for 50 yards (D.Kindred). 60",2017,1,"09/10/2017",13:00:00,18,21,"CLE","PIT","Cleveland Browns","Pittsburgh Steelers","FirstEnergy","Cleveland, Ohio","Outdoor","Grass",02:59:00,"Sunny","63",53,"11","East",16,5.8,6.48,7.44
"4",2017091001,2848,4,12:10:00,3,3,"ATL","ATL",12,"EMPTY","1 RB, 1 TE, 3 WR",5,4,"1 DL, 5 LB, 5 DB",10,13,10,19,FALSE,FALSE,NA,NA,40,"C",48,88,"(12:10) (Shotgun) M.Ryan pass deep middle to A.Hooper for 88 yards, TOUCHDOWN [A.Hicks].",2017,1,"09/10/2017",13:00:00,17,23,"CHI","ATL","Chicago Bears","Atlanta Falcons","Soldier Field","Chicago. IL","Outdoor","Grass",02:54:00,"Sunny","64",57,"10","SE",40,4.66,7.44,7.23
"5",2017091008,265,1,11:43:00,3,12,"PHI","PHI",42,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 4 LB, 5 DB",0,0,0,6,FALSE,FALSE,NA,NA,39,"C",19,58,"(11:43) (Shotgun) C.Wentz pass deep left to N.Agholor for 58 yards, TOUCHDOWN [M.Ioannidis].",2017,1,"09/10/2017",13:00:00,17,30,"WAS","PHI","Washington Redskins","Philadelphia Eagles","FedExField","Landover, MD","Outdoors","Grass",03:06:00,"Sunny","67",54,"5","North",39,6.13,8.19,6.88
"6",2017091011,718,1,03:10:00,3,8,"CAR","SF",40,"SHOTGUN","1 RB, 1 TE, 3 WR",5,5,"3 DL, 2 LB, 6 DB",0,0,0,6,FALSE,FALSE,NA,NA,19,"C",21,40,"(3:10) (Shotgun) C.Newton pass deep left to R.Shepard for 40 yards, TOUCHDOWN. Caught at SF 21.  21-yds YAC",2017,1,"09/10/2017",16:25:00,3,23,"SF","CAR","San Francisco 49ers","Carolina Panthers","Levis Stadium","Santa Clara, CA","Outdoor","Natural Grass",02:55:00,"Clear","87",43,"8","Northwest",19,7.59,9.13,7.6
"7",2017091100,1833,2,00:51:00,2,8,"MIN","MIN",26,"SHOTGUN","1 RB, 1 TE, 3 WR",7,6,"3 DL, 3 LB, 5 DB",10,6,10,6,FALSE,FALSE,NA,NA,17,"C",27,44,"(:51) (Shotgun) S.Bradford pass deep middle to A.Thielen to NO 30 for 44 yards (P.Williams).",2017,1,"09/11/2017",19:10:00,29,19,"MIN","NO","Minnesota Vikings","New Orleans Saints","U.S. Bank Stadium","Minneapolis, MN","Indoors","Field Turf",02:55:00,"Indoor","70",0,NA,NA,17,8.67,8.58,9.32
"8",2017091704,145,1,13:06:00,2,3,"KC","KC",34,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"4 DL, 2 LB, 5 DB",0,0,0,0,FALSE,FALSE,NA,NA,21,"C",23,44,"(13:06) (Shotgun) A.Smith pass deep right to T.Kelce to PHI 22 for 44 yards (M.Jenkins).",2017,2,"09/17/2017",13:00:00,27,20,"KC","PHI","Kansas City Chiefs","Philadelphia Eagles","Arrowhead Stadium","Kansas City, MO","Outdoor","Natural Grass",03:07:00,"Cloudy","68",95,"7","Northeast",21,8.82,8.82,8.84
"9",2017091704,1822,2,00:12:00,1,10,"PHI","PHI",36,"SHOTGUN","1 RB, 1 TE, 3 WR",6,4,"2 DL, 3 LB, 6 DB",6,3,6,3,FALSE,FALSE,NA,NA,31,"C",22,53,"(:12) (Shotgun) C.Wentz pass deep left to Z.Ertz to KC 11 for 53 yards (E.Murray). T.Mitchell deflected pass.",2017,2,"09/17/2017",13:00:00,27,20,"KC","PHI","Kansas City Chiefs","Philadelphia Eagles","Arrowhead Stadium","Kansas City, MO","Outdoor","Natural Grass",03:07:00,"Cloudy","68",95,"7","Northeast",31,6.24,7.46,7.91
"10",2017091705,615,1,05:42:00,3,6,"NE","NE",47,"SHOTGUN","1 RB, 1 TE, 3 WR",5,4,"4 DL, 2 LB, 5 DB",3,6,3,12,FALSE,FALSE,NA,NA,17,"C",36,53,"(5:42) (Shotgun) T.Brady pass deep right to R.Gronkowski for 53 yards, TOUCHDOWN. Pass 17, YAC 36",2017,2,"09/17/2017",13:00:00,20,36,"NO","NE","New Orleans Saints","New England Patriots","Mercedes-Benz Superdome","New Orleans, LA","Indoors","UBU Speed Series-S5-M",03:06:00,"Mostly Cloudy","85",75,"7","NNE",17,7.14,8.03,8.28
